INFO 2024-08-13 14:38:53,714 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-13 14:38:53,715 autoreload Waiting for apps ready_event.
DEBUG 2024-08-13 14:38:53,923 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-13 14:38:53,947 autoreload Watching dir C:\Users\shiya\PycharmProjects\CourtManagementSystem\app\templates with glob **/*.
DEBUG 2024-08-13 14:38:53,947 autoreload Watching dir C:\Users\shiya\PycharmProjects\CourtManagementSystem\locale with glob **/*.mo.
DEBUG 2024-08-13 14:38:53,948 autoreload Watching dir C:\Users\shiya\PycharmProjects\CourtManagementSystem\app\locale with glob **/*.mo.
DEBUG 2024-08-13 14:38:53,948 autoreload Watching dir C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-08-13 14:38:53,953 autoreload Watching dir C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\django_celery_results\locale with glob **/*.mo.
DEBUG 2024-08-13 14:38:54,053 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2024-08-13 14:38:54,054 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-08-13 14:38:54,056 utils (0.016) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2024-08-13 14:38:54,061 utils (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2024-08-13 14:38:54,194 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\copyreg.py first seen with mtime 1702005614.0
DEBUG 2024-08-13 14:38:54,195 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1720454814.0755224
DEBUG 2024-08-13 14:38:54,195 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\kombu\entity.py first seen with mtime 1722452314.649057
DEBUG 2024-08-13 14:38:54,195 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_subprocess.py first seen with mtime 1702005614.0
DEBUG 2024-08-13 14:38:54,197 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\csv.py first seen with mtime 1702005614.0
DEBUG 2024-08-13 14:38:54,197 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1720454810.8038282
DEBUG 2024-08-13 14:38:54,197 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1702005614.0
DEBUG 2024-08-13 14:38:54,197 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\email\utils.py first seen with mtime 1702005614.0
DEBUG 2024-08-13 14:38:54,198 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\stripe\api_resources\funding_instructions.py first seen with mtime 1721530437.921769
DEBUG 2024-08-13 14:38:54,198 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\yaml\serializer.py first seen with mtime 1705540953.0813222
DEBUG 2024-08-13 14:38:54,198 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\context.py first seen with mtime 1720454814.6084728
DEBUG 2024-08-13 14:38:54,199 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\chardet\chardistribution.py first seen with mtime 1721530435.8194425
DEBUG 2024-08-13 14:38:54,199 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1720454814.1226213
DEBUG 2024-08-13 14:38:54,199 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\stripe\api_resources\reporting\report_run.py first seen with mtime 1721530437.9778247
DEBUG 2024-08-13 14:38:54,200 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\stripe\error.py first seen with mtime 1721530437.8911533
DEBUG 2024-08-13 14:38:54,200 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\duration.py first seen with mtime 1720454814.6881273
DEBUG 2024-08-13 14:38:54,200 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\stripe\api_resources\abstract\__init__.py first seen with mtime 1721530437.9487312
DEBUG 2024-08-13 14:38:54,200 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\stripe\api_resources\issuing\authorization.py first seen with mtime 1721530437.968424
DEBUG 2024-08-13 14:38:54,201 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1720454814.3469267
DEBUG 2024-08-13 14:38:54,201 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1720454814.3921473
DEBUG 2024-08-13 14:38:54,201 autoreload File C:\Users\shiya\AppData\Local\Programs\Python\Python312\Lib\concurrent\__init__.py first seen with mtime 1702005614.0
