2024-10-02, 21:00-22:00 Court 4; 18:00-19:00 Court 4, Book, A_CC, Admin, 2024-10-01 22:45:58
2024-10-02, 19:00-20:00 Court 7, Cancel, JENNIFER_SHI, Admin, 2024-10-01 22:46:22
2024-10-02, 17:00-18:00 Court 5, Cancel, JENNIFER_SHI, Admin, 2024-10-01 22:46:29
2024-10-05, 16:00-17:00 Court 6; 13:00-14:00 Court 7; 15:00-16:00 Court 7; 16:00-17:00 Court 7; 14:00-15:00 Court 7; 14:00-15:00 Court 6; 13:00-14:00 Court 6; 15:00-16:00 Court 6, Book, JENNIFER_SHI, Regular User, 2024-10-01 22:47:32
2024-10-09, 19:00-20:00 Court 4; 18:00-19:00 Court 4; 22:00-23:00 Court 8, Book, CC_JJ, Admin, 2024-10-01 22:48:12
2024-10-06, 08:00-09:00 Court 5; 09:00-10:00 Court 5; 09:00-10:00 Court 6; 08:00-09:00 Court 6, Book, JENNIFER_SHI, Regular User, 2024-10-01 22:48:44
2024-10-07, 21:00-22:00 Court 4; 20:00-21:00 Court 5; 19:00-20:00 Court 5, Book, GG_SSDasd, Admin, 2024-10-01 22:49:08
2024-10-07, 20:00-21:00 Court 5, Cancel, GG_SSDasd, Admin, 2024-10-01 22:49:10
2024-10-04, 22:00-23:00 Court 4; 22:00-23:00 Court 5, Book, JENNIFER_SHI, Regular User, 2024-10-04 21:27:39
2024-10-20, 15:00-16:00 Court 4; 15:00-16:00 Court 5; 14:00-15:00 Court 5; 14:00-15:00 Court 4, Book, Kevinn_C, Admin, 2024-10-04 21:28:31
2024-10-20, 14:00-15:00 Court 7; 12:00-13:00 Court 7; 13:00-14:00 Court 7, Book, MM_Dj, Admin, 2024-10-04 21:28:39
2024-10-20, 14:00-15:00 Court 5, Cancel, Kevinn_C, Admin, 2024-10-04 21:28:41
2024-10-05, 22:00-23:00 Court 6; 22:00-23:00 Court 5, Book, JENNIFER_SHI, Regular User, 2024-10-05 21:34:00
2024-10-08, 18:00-19:00 Court 3; 17:00-18:00 Court 3, Book, JENNIFER_SHI, Regular User, 2024-10-05 21:35:17
2024-10-09, 17:00-18:00 Court 5; 16:00-17:00 Court 5; 16:00-17:00 Court 6; 17:00-18:00 Court 6, Book, Cecilia _Jin, Admin, 2024-10-05 21:35:44
2024-10-09, 16:00-17:00 Court 3; 17:00-18:00 Court 3; 18:00-19:00 Court 3, Book, Group A_, Admin, 2024-10-05 21:35:52
2024-10-09, 18:00-19:00 Court 4, Cancel, CC_JJ, Admin, 2024-10-05 21:36:07
2024-10-06, 20:00-21:00 Court 7, Book, JENNIFER_SHI, Regular User, 2024-10-05 22:04:29
2024-10-07, 17:00-18:00 Court 7; 18:00-19:00 Court 8; 17:00-18:00 Court 8; 18:00-19:00 Court 7, Book, JENNIFER_SHI, Regular User, 2024-10-06 22:02:44
2024-10-07, 21:00-22:00 Court 6, Book, JENNIFER_SHI, Regular User, 2024-10-06 22:05:52
2024-10-07, 20:00-21:00 Court 7, Book, JENNIFER_SHI, Regular User, 2024-10-06 22:10:15
2024-10-07, 20:00-21:00 Court 6, Book, JENNIFER_SHI, Regular User, 2024-10-06 22:11:26
2024-10-07, 21:00-22:00 Court 8, Book, JENNIFER_SHI, Regular User, 2024-10-06 22:12:12
2024-10-22, 20:00-21:00 Court 6; 19:00-20:00 Court 7; 20:00-21:00 Court 7; 19:00-20:00 Court 6; 19:00-20:00 Court 5, Book, A_SHI, Admin, 2024-10-06 22:17:08
2024-10-07, 20:00-21:00 Court 3; 19:00-20:00 Court 4, Book, JENNIFER_SHI, Regular User, 2024-10-06 22:17:53
2024-10-07, 17:00-18:00 Court 5, Book, JENNIFER_SHI, Regular User, 2024-10-06 22:20:01
2024-10-09, 19:00-20:00 Court 7, Book, JENNIFER_SHI, Regular User, 2024-10-09 18:56:37
2024-10-09, 21:00-22:00 Court 6; 21:00-22:00 Court 7; 20:00-21:00 Court 6; 20:00-21:00 Court 7, Book, JENNIFER_SHI, Regular User, 2024-10-09 19:01:49
2024-10-09, 20:00-21:00 Court 4; 21:00-22:00 Court 4, Book, JENNIFER_SHI, Regular User, 2024-10-09 19:03:39
2024-10-11, 21:00-22:00 Court 5, Book, JENNIFER_SHI, Regular User, 2024-10-11 20:18:14
2024-10-11, 22:00-23:00 Court 8, Book, JENNIFER_SHI, Regular User, 2024-10-11 20:25:15
2024-10-11, 21:00-22:00 Court 7; 22:00-23:00 Court 7, Book, JENNIFER_SHI, Regular User, 2024-10-11 20:33:12
2024-10-11, 21:00-22:00 Court 9; 22:00-23:00 Court 9; 21:00-22:00 Court 8, Book, JENNIFER_SHI, Regular User, 2024-10-11 20:35:41
2024-10-11, 21:00-22:00 Court 6; 22:00-23:00 Court 6; 22:00-23:00 Court 5, Book, JENNIFER_SHI, Regular User, 2024-10-11 20:36:44
2024-10-11, 21:00-22:00 Court 4; 22:00-23:00 Court 4, Book, JENNIFER_SHI, Regular User, 2024-10-11 20:37:43
2024-10-12, 21:00-22:00 Court 5; 22:00-23:00 Court 5, Book, JENNIFER_SHI, Regular User, 2024-10-12 20:20:07
2024-10-14, 15:00-16:00 Court 4; 12:00-13:00 Court 3; 15:00-16:00 Court 2; 20:00-21:00 Court 3; 19:00-20:00 Court 6, Book, JENNIFER_SHI, Regular User, 2024-10-12 20:20:26
